,City,month,test_type,count
620,Florida,11,negative,173248469.0
621,Florida,12,negative,38399684.0
622,Georgia,3,negative,80515.0
623,Georgia,4,negative,1711240.0
624,Georgia,5,negative,9124800.0
625,Georgia,6,negative,17354742.0
626,Georgia,7,negative,32822199.0
627,Georgia,8,negative,54582697.0
628,Georgia,9,negative,70747638.0
629,Georgia,10,negative,90406621.0
630,Georgia,11,negative,106259154.0
631,Georgia,12,negative,23864467.0
632,Hawaii,3,negative,47814.0
633,Hawaii,4,negative,598664.0
634,Hawaii,5,negative,1291418.0
635,Hawaii,6,negative,1846780.0
636,Hawaii,7,negative,3045243.0
637,Hawaii,8,negative,4774790.0
638,Hawaii,9,negative,7421222.0
639,Hawaii,10,negative,9120404.0
640,Hawaii,11,negative,8854590.0
641,Hawaii,12,negative,1770918.0
642,Idaho,3,negative,31821.0
643,Idaho,4,negative,425569.0
644,Idaho,5,negative,1050370.0
645,Idaho,6,negative,1878296.0
646,Idaho,7,negative,3825666.0
647,Idaho,8,negative,6003395.0
648,Idaho,9,negative,7395557.0
649,Idaho,10,negative,9289193.0
650,Idaho,11,negative,10772023.0
651,Idaho,12,negative,2359206.0
652,Illinois,3,negative,189326.0
653,Illinois,4,negative,3120699.0
654,Illinois,5,negative,14874373.0
655,Illinois,6,negative,33123453.0
656,Illinois,7,negative,61406411.0
657,Illinois,8,negative,98377125.0
658,Illinois,9,negative,137928452.0
659,Illinois,10,negative,195566987.0
660,Illinois,11,negative,256976354.0
661,Illinois,12,negative,60577270.0
662,Indiana,2,negative,0.0
663,Indiana,3,negative,57233.0
664,Indiana,4,negative,1267570.0
665,Indiana,5,negative,4597739.0
666,Indiana,6,negative,9831654.0
667,Indiana,7,negative,17110716.0
668,Indiana,8,negative,25773823.0
669,Indiana,9,negative,34045590.0
670,Indiana,10,negative,43103579.0
671,Indiana,11,negative,50799797.0
672,Indiana,12,negative,11397725.0
673,Iowa,3,negative,39395.0
674,Iowa,4,negative,590114.0
675,Iowa,5,negative,2606832.0
676,Iowa,6,negative,6181861.0
677,Iowa,7,negative,11068350.0
678,Iowa,8,negative,15390662.0
679,Iowa,9,negative,18634184.0
680,Iowa,10,negative,22615989.0
681,Iowa,11,negative,24661387.0
682,Iowa,12,negative,5264501.0
683,Kansas,3,negative,31466.0
684,Kansas,4,negative,439690.0
685,Kansas,5,negative,1714359.0
686,Kansas,6,negative,3770805.0
687,Kansas,7,negative,6764953.0
688,Kansas,8,negative,9751157.0
689,Kansas,9,negative,12393827.0
690,Kansas,10,negative,15912079.0
