,month,state,City,POPESTIMATE2020,positive,negative
249,June,OH,Ohio,11693217.0,1263717.0,16050525.0
250,June,OK,Oklahoma,3980783.0,270267.0,7575990.0
251,June,OR,Oregon,4241507.0,179416.0,5241268.0
252,June,PA,Pennsylvania,12783254.0,2373219.0,15750048.0
253,June,RI,Rhode Island,1057125.0,482363.0,3582509.0
254,June,SC,South Carolina,5218040.0,611936.0,7668142.0
255,June,SD,South Dakota,892717.0,176189.0,1794827.0
256,June,TN,Tennessee,6886834.0,939803.0,17523878.0
257,June,TX,Texas,29360759.0,2902788.0,37850548.0
258,June,UT,Utah,3249879.0,448781.0,7966935.0
259,June,VA,Virginia,8590563.0,1626135.0,12760216.0
260,June,VT,Vermont,623347.0,33306.0,1462396.0
261,June,WA,Washington,7693612.0,852712.0,14759630.0
262,June,WI,Wisconsin,5832655.0,767357.0,12176946.0
263,June,WV,West Virginia,1784787.0,70609.0,3972452.0
264,June,WY,Wyoming,582328.0,33130.0,883306.0
265,March,AK,Alaska,731158.0,661.0,25051.0
266,March,AL,Alabama,4921532.0,220066.0,36150.0
267,March,AR,Arkansas,3030522.0,423350.0,26305.0
268,March,AZ,Arizona,7421401.0,237943.0,64910.0
269,March,CA,California,39368078.0,478847.0,234096.0
270,March,CO,Colorado,5807719.0,1357391.0,111610.0
271,March,CT,Connecticut,3557006.0,281068.0,77369.0
272,March,DC,District of Columbia,712816.0,402988.0,20584.0
273,March,DE,Delaware,986809.0,169655.0,6620.0
274,March,FL,Florida,21733312.0,22777.0,292184.0
275,March,GA,Georgia,10710017.0,35825.0,80515.0
276,March,HI,Hawaii,1407006.0,1044.0,47814.0
277,March,IA,Iowa,3163561.0,37970.0,39395.0
278,March,ID,Idaho,1826913.0,129133.0,31821.0
279,March,IL,Illinois,12587530.0,421958.0,189326.0
280,March,IN,Indiana,6754953.0,7894.0,57233.0
281,March,KS,Kansas,2913805.0,352753.0,31466.0
282,March,KY,Kentucky,4477251.0,170634.0,39812.0
283,March,LA,Louisiana,4645318.0,109205.0,172972.0
284,March,MA,Massachusetts,6893574.0,25633.0,251901.0
285,March,MD,Maryland,6055802.0,115130.0,53950.0
286,March,ME,Maine,1350141.0,166748.0,44976.0
287,March,MI,Michigan,9966555.0,187325.0,147888.0
288,March,MN,Minnesota,5657342.0,178028.0,149462.0
289,March,MO,Missouri,6151548.0,87858.0,53678.0
290,March,MS,Mississippi,2966786.0,327141.0,25208.0
291,March,MT,Montana,1080577.0,14232.0,30579.0
292,March,NC,North Carolina,10600823.0,371071.0,148422.0
293,March,ND,North Dakota,765309.0,602.0,27548.0
294,March,NE,Nebraska,1937552.0,945.0,17659.0
295,March,NH,New Hampshire,1366275.0,789185.0,36107.0
296,March,NJ,New Jersey,8882371.0,73803.0,145370.0
297,March,NM,New Mexico,2106319.0,476767.0,110645.0
298,March,NV,Nevada,3138259.0,219972.0,69632.0
299,March,NY,New York,19336776.0,807955.0,1011424.0
300,March,OH,Ohio,11693217.0,33010.0,141488.0
301,March,OK,Oklahoma,3980783.0,70378.0,12401.0
302,March,OR,Oregon,4241507.0,447636.0,86740.0
303,March,PA,Pennsylvania,12783254.0,231980.0,207027.0
304,March,RI,Rhode Island,1057125.0,257735.0,31510.0
305,March,SC,South Carolina,5218040.0,1254183.0,30358.0
306,March,SD,South Dakota,892717.0,55591.0,24426.0
307,March,TN,Tennessee,6886834.0,95085.0,145171.0
308,March,TX,Texas,29360759.0,274342.0,219051.0
309,March,UT,Utah,3249879.0,221108.0,130820.0
310,March,VA,Virginia,8590563.0,5566.0,79746.0
311,March,VT,Vermont,623347.0,1560.0,29307.0
312,March,WA,Washington,7693612.0,64546.0,930273.0
313,March,WI,Wisconsin,5832655.0,8777.0,135717.0
314,March,WV,West Virginia,1784787.0,201202.0,18083.0
315,March,WY,Wyoming,582328.0,603.0,13138.0
316,May,AK,Alaska,731158.0,12160.0,1056616.0
317,May,AL,Alabama,4921532.0,356718.0,4328674.0
318,May,AR,Arkansas,3030522.0,145016.0,2487946.0
319,May,AZ,Arizona,7421401.0,404821.0,4062774.0
320,May,CA,California,39368078.0,2348693.0,35849088.0
321,May,CO,Colorado,5807719.0,651171.0,3248141.0
322,May,CT,Connecticut,3557006.0,1108483.0,4072840.0
323,May,DC,District of Columbia,712816.0,210484.0,878864.0
324,May,DE,Delaware,986809.0,224650.0,1016432.0
325,May,FL,Florida,21733312.0,1327226.0,19806395.0
326,May,GA,Georgia,10710017.0,1132470.0,9124800.0
327,May,HI,Hawaii,1407006.0,19669.0,1291418.0
328,May,IA,Iowa,3163561.0,427600.0,2606832.0
329,May,ID,Idaho,1826913.0,73291.0,1050370.0
330,May,IL,Illinois,12587530.0,2750036.0,14874373.0
331,May,IN,Indiana,6754953.0,821526.0,4597739.0
332,May,KS,Kansas,2913805.0,231250.0,1714359.0
333,May,KY,Kentucky,4477251.0,220728.0,3707665.0
334,May,LA,Louisiana,4645318.0,1046428.0,7121423.0
335,May,MA,Massachusetts,6893574.0,2547825.0,11225946.0
336,May,MD,Maryland,6055802.0,1152092.0,4955905.0
337,May,ME,Maine,1350141.0,50928.0,880176.0
338,May,MI,Michigan,9966555.0,1750231.0,11092594.0
339,May,MN,Minnesota,5657342.0,534892.0,4737287.0
340,May,MO,Missouri,6151548.0,324627.0,3863710.0
341,May,MS,Mississippi,2966786.0,335386.0,3163203.0
342,May,MT,Montana,1080577.0,14518.0,808776.0
343,May,NC,North Carolina,10600823.0,553768.0,7289883.0
344,May,ND,North Dakota,765309.0,55818.0,1581664.0
345,May,NE,Nebraska,1937552.0,285764.0,1622391.0
346,May,NH,New Hampshire,1366275.0,104325.0,1284155.0
347,May,NJ,New Jersey,8882371.0,4428692.0,10217130.0
348,May,NM,New Mexico,2106319.0,173697.0,3900837.0
349,May,NV,Nevada,3138259.0,207301.0,2357671.0
350,May,NY,New York,19336776.0,10626893.0,33073131.0
351,May,OH,Ohio,11693217.0,829978.0,7089686.0
352,May,OK,Oklahoma,3980783.0,157613.0,3691157.0
353,May,OR,Oregon,4241507.0,106672.0,2740767.0
354,May,PA,Pennsylvania,12783254.0,1856612.0,8420233.0
355,May,RI,Rhode Island,1057125.0,384109.0,2387321.0
356,May,SC,South Carolina,5218040.0,262763.0,3442910.0
357,May,SD,South Dakota,892717.0,116448.0,764846.0
358,May,TN,Tennessee,6886834.0,526741.0,9241487.0
359,May,TX,Texas,29360759.0,1394463.0,18234047.0
360,May,UT,Utah,3249879.0,216156.0,5004386.0
361,May,VA,Virginia,8590563.0,896650.0,4993757.0
362,May,VT,Vermont,623347.0,28900.0,648659.0
363,May,WA,Washington,7693612.0,592019.0,8758198.0
364,May,WI,Wisconsin,5832655.0,423924.0,4439509.0
365,May,WV,West Virginia,1784787.0,46104.0,2201012.0
366,May,WY,Wyoming,582328.0,22461.0,486435.0
367,November,AK,Alaska,731158.0,674674.0,24852718.0
368,November,AL,Alabama,4921532.0,6527268.0,38449982.0
369,November,AR,Arkansas,3030522.0,3983547.0,41840541.0
370,November,AZ,Arizona,7421401.0,8354417.0,51694974.0
371,November,CA,California,39368078.0,30951372.0,602382579.0
372,November,CO,Colorado,5807719.0,4897979.0,39631425.0
373,November,CT,Connecticut,3557006.0,2737116.0,80323009.0
374,November,DC,District of Columbia,712816.0,571247.0,17353099.0
375,November,DE,Delaware,986809.0,873264.0,10641714.0
376,November,FL,Florida,21733312.0,26254684.0,173248469.0
377,November,GA,Georgia,10710017.0,11634479.0,106259154.0
378,November,HI,Hawaii,1407006.0,500389.0,8854590.0
379,November,IA,Iowa,3163561.0,4869062.0,24661387.0
380,November,ID,Idaho,1826913.0,2422984.0,10772023.0
381,November,IL,Illinois,12587530.0,17001897.0,256976354.0
382,November,IN,Indiana,6754953.0,7517061.0,50799797.0
383,November,KS,Kansas,2913805.0,3543266.0,18281397.0
384,November,KY,Kentucky,4477251.0,4152676.0,63902614.0
385,November,LA,Louisiana,4645318.0,6177236.0,85904923.0
386,November,MA,Massachusetts,6893574.0,5645446.0,86001135.0
387,November,MD,Maryland,6055802.0,5020393.0,58873193.0
388,November,ME,Maine,1350141.0,268973.0,22245166.0
389,November,MI,Michigan,9966555.0,8431197.0,164786199.0
390,November,MN,Minnesota,5657342.0,6679293.0,58317632.0
391,November,MO,Missouri,6151548.0,7138973.0,42880284.0
392,November,MS,Mississippi,2966786.0,4026096.0,26743997.0
393,November,MT,Montana,1080577.0,1406711.0,15861965.0
394,November,NC,North Carolina,10600823.0,9398605.0,130562875.0
395,November,ND,North Dakota,765309.0,1869502.0,7813128.0
396,November,NE,Nebraska,1937552.0,2891450.0,17034934.0
397,November,NH,New Hampshire,1366275.0,448130.0,11073700.0
398,November,NJ,New Jersey,8882371.0,8392657.0,151272907.0
399,November,NM,New Mexico,2106319.0,2021955.0,39030707.0
400,November,NV,Nevada,3138259.0,3652987.0,22994842.0
401,November,NY,New York,19336776.0,16880898.0,490344925.0
402,November,OH,Ohio,11693217.0,9028451.0,149445696.0
403,November,OK,Oklahoma,3980783.0,4630976.0,50545538.0
404,November,OR,Oregon,4241507.0,1721271.0,27051670.0
405,November,PA,Pennsylvania,12783254.0,8086506.0,77189806.0
406,November,RI,Rhode Island,1057125.0,1304922.0,13232288.0
407,November,SC,South Carolina,5218040.0,5856901.0,57197734.0
408,November,SD,South Dakota,892717.0,1904522.0,6911926.0
409,November,TN,Tennessee,6886834.0,9290218.0,113718617.0
410,November,TX,Texas,29360759.0,30674029.0,251617608.0
411,November,UT,Utah,3249879.0,4580293.0,31213080.0
412,November,VA,Virginia,8590563.0,6139126.0,83207323.0
413,November,VT,Vermont,623347.0,91680.0,6005456.0
414,November,WA,Washington,7693612.0,3864304.0,77984470.0
415,November,WI,Wisconsin,5832655.0,9757567.0,60120441.0
416,November,WV,West Virginia,1784787.0,1023578.0,27292252.0
417,November,WY,Wyoming,582328.0,678294.0,3870031.0
418,October,AK,Alaska,731158.0,332270.0,15968264.0
419,October,AL,Alabama,4921532.0,5293940.0,33826150.0
420,October,AR,Arkansas,3030522.0,2995642.0,34162601.0
421,October,AZ,Arizona,7421401.0,7113669.0,43030072.0
422,October,CA,California,39368078.0,26667963.0,489801406.0
423,October,CO,Colorado,5807719.0,2600927.0,30522016.0
424,October,CT,Connecticut,3557006.0,1947615.0,58730781.0
425,October,DC,District of Columbia,712816.0,501718.0,13589554.0
426,October,DE,Delaware,986809.0,702220.0,9225331.0
427,October,FL,Florida,21733312.0,22893156.0,153257179.0
428,October,GA,Georgia,10710017.0,10446540.0,90406621.0
429,October,HI,Hawaii,1407006.0,429572.0,9120404.0
430,October,IA,Iowa,3163561.0,3081101.0,22615989.0
431,October,ID,Idaho,1826913.0,1579184.0,9289193.0
432,October,IL,Illinois,12587530.0,10570306.0,195566987.0
433,October,IN,Indiana,6754953.0,4453071.0,43103579.0
434,October,KS,Kansas,2913805.0,2170332.0,15912079.0
435,October,KY,Kentucky,4477251.0,2638039.0,48575411.0
436,October,LA,Louisiana,4645318.0,5485744.0,73754945.0
437,October,MA,Massachusetts,6893574.0,4422653.0,72850109.0
438,October,MD,Maryland,6055802.0,4152025.0,51089586.0
439,October,ME,Maine,1350141.0,182098.0,16228732.0
440,October,MI,Michigan,9966555.0,4940269.0,126581324.0
441,October,MN,Minnesota,5657342.0,3689821.0,47180320.0
442,October,MO,Missouri,6151548.0,4686341.0,39002496.0
443,October,MS,Mississippi,2966786.0,3351488.0,22237884.0
444,October,MT,Montana,1080577.0,663039.0,12427065.0
445,October,NC,North Carolina,10600823.0,7430806.0,102366655.0
446,October,ND,North Dakota,765309.0,947123.0,7322119.0
447,October,NE,Nebraska,1937552.0,1713168.0,14608440.0
448,October,NH,New Hampshire,1366275.0,293924.0,9238975.0
449,October,NJ,New Jersey,8882371.0,6767221.0,120513087.0
450,October,NM,New Mexico,2106319.0,1114501.0,31151407.0
451,October,NV,Nevada,3138259.0,2751087.0,20604052.0
452,October,NY,New York,19336776.0,14891864.0,376733222.0
453,October,OH,Ohio,11693217.0,5529460.0,113034201.0
454,October,OK,Oklahoma,3980783.0,3228654.0,40519159.0
455,October,OR,Oregon,4241507.0,1196417.0,22757267.0
456,October,PA,Pennsylvania,12783254.0,5548871.0,65112691.0
457,October,RI,Rhode Island,1057125.0,867006.0,11201702.0
458,October,SC,South Carolina,5218040.0,4998793.0,43383215.0
459,October,SD,South Dakota,892717.0,984074.0,6015279.0
460,October,TN,Tennessee,6886834.0,6960189.0,95111256.0
461,October,TX,Texas,29360759.0,25244147.0,198046393.0
462,October,UT,Utah,3249879.0,2829102.0,26055743.0
463,October,VA,Virginia,8590563.0,5052758.0,67902403.0
464,October,VT,Vermont,623347.0,59892.0,5372102.0
465,October,WA,Washington,7693612.0,2971226.0,63867357.0
466,October,WI,Wisconsin,5832655.0,5392881.0,50312031.0
467,October,WV,West Virginia,1784787.0,600425.0,20073600.0
